Overall	Text
1	Need to document that the Go direct runner exists on https://beam.apache.org/documentation/runners/direct/
1	https://camel.apache.org/.Apache Camel has a large ecosystem of connectors, many of which are unavailable in Beam currently.This issue tracks the effort to create wrappers around Camel to gain access to these connections in Beam.Initially, these wrappers are focused exclusively on correctness, and are designed to enable access to new resources. There is not an initial focus on performance.Experiment around to find potential techniques for wrapping Camel.Draft design document, and get approval from the Beam community.Implement baseline wrappers.Improve wrappers
1	Steps to reproduce:Open Beam ZetaSQL lexical structure in the browser/Scroll to the section Reserved Keywords/Reduce the width of the page to 483px/Take a look how content of 1st column overlaps content of the 2nd column.Actual result: content of the columns overlaps each other.Expected result: content of the columns doesn't overlap each other
-1	Link to notebook.There are 3 issues with the notebook to fix up.Remove the logs with pip install (not necessary and clutters up the notebook).Ignore lfs error in colab, it is already installed. See Git LFS install fails on Google Colab even after successful installation using package cloud installer script. git-lfs/git-lfs#3605.Colab is failing on this line
-1	finalize() has been deprecated in Java 9 and has defects and per #24180 it is suspected that its usages might be cause of resource leak related bugs. We should remove its usage whenever possible.
1	Implement the following features for the RedisIO connector in the Go SDK
-1	Jobs reading from the BigQuery Storage API can hit Quota limits and eventually fail with The worker lost contact with the service. (Dataflow runner).The reason for the failure can be diagnosed on the API Monitoring (GCP) for BigQuery Storage API calls, where a spike in 429s can be seen for ReadRows when the throughput of the job starts going downhill.On the GCP side we've tried to resolve it through Quota increases, but it would be helpful to de-risk jobs crashing.related to:Bump throttling counter on BigQueryRead retries due to RESOURCE_EXHAU… #15445 <- Shouldn't this PR have pervented this kind of issue?
1	FirestoreIO should have a similar functionality like DatastoreIO does with EntityToRow/RowToEntity as that is still a missing "link" between the traditional beam schema/row and the firestore-related types.
1	I find that beam is using jackson and fastjson at the same time, why not remove fastjson? I think jackson is enough to parse a json object
1	The only current way to directly implement relational joins between two PCollections using the library is through Java SDK's org.apache.beam.sdk.schemas.transforms.Join. As a Python pipeline developer I would like to be able to do the same, in a similar fashion as described in the usage examples of https://beam.apache.org/documentation/sdks/java-extensions/#join-library.add-labels python,'new feature'
-1	Right now, we publish snapshots with the tag latest even if we're publishing a snapshot of an old version.We should only add the latest tag to snapshots from master so that tooling doesn't accidentally pick up old versions
-1	I have a query with the coll parameter in apache_beam.io.WriteToMongoDB.I would like to like to set the collection name dynamically based on the record, instead of hard coding it. For ex. if the record is dict. and if it has something like record.tag = 'example', I would like to retreive that and set as coll.I got some similar references for BigQuery and tried coll = lambda record: record.tag, which doesn't work. It threw an error saying it needs a string.
1	Currently Spanner change streams are supported as a source in Java, there is no current support in Python.Would be great to see this added to the Python SDK.
-1	Hi,I recently encountered an issue when upgrading my apache beam SDKs. I was attempting to upgrade from 2.30.0 to 2.40.0, and there was a file descriptor leak where approximately every time a new pipeline was started, java would create a new set of file descriptors to the libraries on the classpath. This resulted in many duplicate file descriptors being open and eventually hitting the maximum number of file descriptors.I was able to track it down to when I bump from 2.35.0 to 2.36.0, and I am 99% certain that this commit is the source.The main difference in this code is that classGraph.disableNestedJarScanning().addClassLoader(classLoader).scan(1).getClasspathFiles(); creates a new Scanner object with performScan=true,whereas classGraph.disableNestedJarScanning().addClassLoader(classLoader).getClasspathFiles(); does the same with performScan=false.PerformScan=true runs an asynchronoous scan of the classpath, and PerformScan=false just generates a placeholder ScanResult with just the classpath. The scan itself is creating the fd leak.The file leak itself is coming from the classgraph scanner.Here's one example of an open file descriptor
-1	Our configuration is using kubernetes to kick off a google cloud dataflow using the apache beam sdk.Please let me know if there is any other information I can provide.Is anyone else hitting a similar issue?
1	Is there any way to control the amount of sharing on the to_parquet call? (I tried adding n_shards = N, but seems to have no effect)
-1	Pandas to_feather fails when used with a non-default index:ValueError: feather does not support serializing a non-default index for the index; you can .reset_index() to make the index into column(s).Unfortunately, our DataFrame partitions will only have a default index in rare cases. Typically each partition will have some hash-based index. So to_feather will usually fail with the above error at execution time.
